mrbts_id,distname,physicalPort,sfpVendor,sfpSerialNumber,sfpType,waveLength(nm),transmissionMode,ransmissionRate(Mb/s),transmissionDistance(m),temperature,txVoltage,txCurrent,txPower,rxPower
7028,MRBTS-7028/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1433008KH    ,LC,1310,SingleMode,9800,199.000000,51,3308,50,-1,-1
7028,MRBTS-7028/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-13,FINISARCORP._FTLX1370W3BTL-NN,VF1434009FN,LC,1310,SingleMode,9800,199.000000,39,3346,45,-1,-1
7028,MRBTS-7028/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF14340046Q    ,LC,1310,SingleMode,9800,0.000000,38,3329,46,-2,-1
7028,MRBTS-7028/EQM-1/APEQM-1/RMOD-1/SFP-3,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1433008N8    ,LC,1310,SingleMode,9800,0.000000,45,3303,48,-1,-3
7110,MRBTS-7110/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF144800COR    ,LC,1310,SingleMode,9800,224.000000,24,3347,44,-1,-16
7110,MRBTS-7110/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-15,FINISARCORP._FTLX1370W3BTL-NN,VF144800CQJ,LC,1310,SingleMode,9800,224.000000,34,3304,44,-1,-2
7110,MRBTS-7110/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF144800COV    ,LC,1310,SingleMode,9800,224.000000,24,3352,45,-1,-2
7110,MRBTS-7110/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT3_10G-17,FINISARCORP._FTLX1370W3BTL-NN,VF144800COY,LC,1310,SingleMode,9800,224.000000,36,3299,45,-2,-1
7110,MRBTS-7110/EQM-1/APEQM-1/RMOD-3/SFP-3,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF144800D3Z    ,LC,1310,SingleMode,9800,223.000000,24,3350,46,-1,-2
7110,MRBTS-7110/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT5_10G-19,FINISARCORP._FTLX1370W3BTL-NN,VF144800CON,LC,1310,SingleMode,9800,223.000000,34,3313,45,-1,-1
7024,MRBTS-7024/EQM-1/APEQM-1/RMOD-2/SFP-1,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF14340077M    ,LC,1310,SingleMode,9800,0.000000,34,3311,46,-2,-7
7024,MRBTS-7024/EQM-1/APEQM-1/RMOD-1/SFP-2,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1434005VV    ,LC,1310,SingleMode,9800,0.000000,35,3332,46,-1,-9
7024,MRBTS-7024/EQM-1/APEQM-1/RMOD-1/SFP-3,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF143400774    ,LC,1310,SingleMode,9800,800.000000,37,3327,45,-1,-12
7024,MRBTS-7024/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-9,FINISARCORP._FTLX1370W3BTL-NN,VF1434005X7,LC,1310,SingleMode,9800,800.000000,36,3296,46,-1,-4
7024,MRBTS-7024/EQM-1/APEQM-1/RMOD-4/SFP-4,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1434005VU    ,LC,1310,SingleMode,9800,0.000000,34,3313,46,-1,-12
7024,MRBTS-7024/EQM-1/APEQM-1/RMOD-3/SFP-5,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1434003HK    ,LC,1310,SingleMode,9800,0.000000,35,3316,43,-1,-7
7024,MRBTS-7024/EQM-1/APEQM-1/RMOD-3/SFP-6,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF143400775    ,LC,1310,SingleMode,9800,829.000000,34,3290,46,-2,-4
7024,MRBTS-7024/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT2-10,FINISARCORP._FTLX1370W3BTL-NN,VF1434003HD,LC,1310,SingleMode,9800,829.000000,37,3283,46,-1,-7
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-3/SFP-1,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451006HR    ,LC,1310,SingleMode,9800,0.000000,37,3293,45,-1,-2
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451004MR    ,LC,1310,SingleMode,9800,0.000000,32,3299,45,-1,-2
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-1/SFP-3,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451004H2    ,LC,1310,SingleMode,9800,1322.000000,32,3281,45,-1,-7
7119,MRBTS-7119/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-19,FINISARCORP._FTLX1370W3BTL-NN,VF1451006CP,LC,1310,SingleMode,9800,1322.000000,39,3296,46,-1,-3
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-7/SFP-4,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451004MF    ,LC,1310,SingleMode,9800,0.000000,34,3296,45,-1,-7
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-6/SFP-5,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451006TX    ,LC,1310,SingleMode,9800,0.000000,29,3298,46,-1,-6
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-8/SFP-6,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451006GW    ,LC,1310,SingleMode,9800,0.000000,34,3297,46,-1,-1
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-7/SFP-7,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451006RU    ,LC,1310,SingleMode,9800,0.000000,33,3303,46,-1,-1
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-4/SFP-8,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF14510062U    ,LC,1310,SingleMode,9800,0.000000,29,3294,44,-1,-1
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-3/SFP-9,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451004MQ    ,LC,1310,SingleMode,9800,0.000000,34,3298,45,0,-1
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-5/SFP-10,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451006CW    ,LC,1310,SingleMode,9800,1240.000000,33,3306,46,-1,-4
7119,MRBTS-7119/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451006CD,LC,1310,SingleMode,9800,1240.000000,38,3305,47,-2,-4
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-6/SFP-11,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF14510062R    ,LC,1310,SingleMode,9800,0.000000,32,3288,44,-1,-7
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-5/SFP-12,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF145100236    ,LC,1310,SingleMode,9800,0.000000,31,3321,46,-2,-4
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-2/SFP-13,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451006R6    ,LC,1310,SingleMode,9800,0.000000,32,3291,45,-1,-4
7119,MRBTS-7119/EQM-1/APEQM-1/RMOD-1/SFP-14,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451007SA    ,LC,1310,SingleMode,9800,0.000000,31,3302,43,-1,-3
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451001JK    ,LC,1310,SingleMode,9800,579.000000,33,3289,42,-1,-2
7122,MRBTS-7122/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-17,FINISARCORP._FTLX1370W3BTL-NN,VF14510062Z,LC,1310,SingleMode,9800,579.000000,35,3319,46,-1,-2
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,WTD_RTXM228-702-AW,AL1436005931   ,LC,1310,NotSupported,10000,363.000000,38,3207,82,-10,-5
7122,MRBTS-7122/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT3_10G-19,WTD_RTXM228-702-AW,AL1436003376,LC,1310,NotSupported,10000,363.000000,34,3295,39,-2,0
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-5/SFP-3,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF1451004GF    ,LC,1310,SingleMode,9800,0.000000,30,3285,46,-1,-6
