mrbts_id,distname,physicalPort,sfpVendor,sfpSerialNumber,sfpType,waveLength(nm),transmissionMode,ransmissionRate(Mb/s),transmissionDistance(m),temperature,txVoltage,txCurrent,txPower,rxPower
5377,MRBTS-5377/EQM-1/APEQM-1/RMOD-1/SFP-4,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142607475    ,LC,1310,NotSupported,10300,62.000000,34,3310,40,-3,-2
5377,MRBTS-5377/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT1_10G-13,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142107950,LC,1310,NotSupported,10300,62.000000,32,3277,38,-3,-3
5377,MRBTS-5377/EQM-1/APEQM-1/RMOD-3/SFP-5,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142603382    ,LC,1310,NotSupported,10300,62.000000,36,3344,38,-2,-3
5377,MRBTS-5377/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-2,RF5-5,WTD_RTXM228-702,FR181520659,LC,1310,NotSupported,10000,62.000000,34,3259,42,-1,-2
5377,MRBTS-5377/EQM-1/APEQM-1/RMOD-1/SFP-6,OPT_IF2-5,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142609418    ,LC,1310,NotSupported,10300,0.000000,35,3306,38,-2,NotSupported
4374,MRBTS-4374/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPAW.10,14--HL33010822,LC,1310,NotSupported,10300,220.000000,21,3292,36,-3,-8
4374,MRBTS-4374/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-3,SOURCEPHOTONICS_SPP10ELRIDFPAW,14--HL33012199,LC,1310,NotSupported,10300,220.000000,33,3253,37,-2,-5
4374,MRBTS-4374/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,FINISAR CORP._FTLX1370W3BTL-AW.A,URG17V5,LC,1310,NotSupported,9800,220.000000,30,3322,44,-1,-1
4374,MRBTS-4374/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT3_10G-5,FINISARCORP._FTLX1370W3BTL-AW,URC14C7,LC,1310,NotSupported,9800,220.000000,41,3290,47,-1,-2
4374,MRBTS-4374/EQM-1/APEQM-1/RMOD-3/SFP-3,OPT_IF1-1,FINISAR CORP._FTLX1370W3BTL-AW.A,URG181D,LC,1310,NotSupported,9800,220.000000,20,3318,44,-1,-3
4374,MRBTS-4374/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT5_10G-7,SOURCEPHOTONICS_SPP10ELRIDFPAW,14--HL33012227,LC,1310,NotSupported,10300,220.000000,32,3220,38,-2,-3
4382,MRBTS-4382/EQM-1/APEQM-1/RMOD-4/SFP-1,OPT_IF1-1,FINISAR CORP._FTLX1370W3BTL-AW.A,URG1K8M,LC,1310,NotSupported,9800,220.000000,28,3316,45,-1,-4
4382,MRBTS-4382/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-1,RF1-1,WTD_RTXM228-702,FR164302752,LC,1310,NotSupported,10000,220.000000,44,3216,43,-4,-2
4382,MRBTS-4382/EQM-1/APEQM-1/RMOD-5/SFP-2,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPAW.10,14--HL33011300,LC,1310,NotSupported,10300,221.000000,28,3278,38,-3,-4
4382,MRBTS-4382/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-2,RF3-3,WTD_RTXM228-702,FR164319752,LC,1310,NotSupported,10000,221.000000,44,3181,44,-4,-3
4382,MRBTS-4382/EQM-1/APEQM-1/RMOD-2/SFP-3,OPT_IF1-1,WTD_RTXM228-702,FR164222934,LC,1310,NotSupported,10000,249.000000,30,3285,40,-4,-4
4382,MRBTS-4382/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT3_10G-9,HGGENUINE_MTRS-1E21-01,MA16420310172,LC,1310,NotSupported,9900,249.000000,39,3245,48,-3,-6
4382,MRBTS-4382/EQM-1/APEQM-1/RMOD-3/SFP-4,OPT_IF1-1,WTD_RTXM228-702,FR164302416,LC,1310,NotSupported,10000,250.000000,36,3297,44,-4,-4
4382,MRBTS-4382/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT5_10G-11,WTD_RTXM228-702,FR161726586,LC,1310,NotSupported,10000,250.000000,41,3171,43,-3,-4
4382,MRBTS-4382/EQM-1/APEQM-1/RMOD-6/SFP-5,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPAW.10,14--HL33010950,LC,1310,NotSupported,10300,219.000000,34,3273,38,-3,-5
4382,MRBTS-4382/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-3,RF5-5,WTD_RTXM228-702,FR164221606,LC,1310,NotSupported,10000,219.000000,44,3204,42,-4,-3
4382,MRBTS-4382/EQM-1/APEQM-1/RMOD-1/SFP-6,OPT_IF1-1,WTD_RTXM228-702,FR164303259,LC,1310,NotSupported,10000,250.000000,33,3304,42,-3,-3
4382,MRBTS-4382/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT1_10G-7,HGGENUINE_MTRS-1E21-01,MA16420310978,LC,1310,NotSupported,9900,250.000000,38,3254,45,-3,-3
924695,MRBTS-924695/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2162002589,LC,1310,NotSupported,10300,535.000000,41,3329,38,-1,-3
924695,MRBTS-924695/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-17,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2162002708,LC,1310,NotSupported,10300,535.000000,40,3253,38,-2,-3
924695,MRBTS-924695/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2161903235,LC,1310,NotSupported,10300,535.000000,42,3296,38,-3,-7
924695,MRBTS-924695/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT3_10G-19,HGGENUINE_MTRS-1E21-01,MB16020591669,LC,1310,NotSupported,9900,535.000000,38,3250,45,-5,-3
924695,MRBTS-924695/EQM-1/APEQM-1/RMOD-3/SFP-3,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2162002508,LC,1310,NotSupported,10300,536.000000,43,3315,39,-2,-7
924695,MRBTS-924695/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT5_10G-3,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2162002549,LC,1310,NotSupported,10300,536.000000,40,3244,38,-3,-4
4353,MRBTS-4353/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,FINISAR CORP._FTLX1370W3BTL-AW.A,URC16EP,LC,1310,NotSupported,9800,221.000000,45,3304,48,-2,-1
4353,MRBTS-4353/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT3_10G-17,FINISARCORP._FTLX1370W3BTL-AW,URC0W1N,LC,1310,NotSupported,9800,221.000000,41,3301,51,-1,-7
4353,MRBTS-4353/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF2-8,FINISAR CORP._FTLX1370W3BTL-AW.A,UT81A91,LC,1310,NotSupported,9800,220.000000,41,3301,48,-1,-1
4353,MRBTS-4353/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT5_10G-19,FINISARCORP._FTLX1370W3BTL-AW,UT81A8N,LC,1310,NotSupported,9800,220.000000,36,3291,48,-1,-1
4353,MRBTS-4353/EQM-1/APEQM-1/RMOD-2/SFP-3,OPT_IF1-1,FINISAR CORP._FTLX1370W3BTL-AW.A,URC149E,LC,1310,NotSupported,9800,221.000000,42,3311,47,-1,-2
4353,MRBTS-4353/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-1,RF1-1,SOURCEPHOTONICS_SPP10ELRIDFPAW,14--HL33010522,LC,1310,NotSupported,10300,221.000000,37,3253,38,-2,-2
